6.65 -0.457246 -0.495664 0.272674
6.7 -0.481688 -0.481979 0.274706
6.75 -0.505444 -0.468197 0.276519
6.8 -0.528508 -0.45433 0.278113
6.85 -0.550877 -0.440389 0.279486
6.9 -0.572547 -0.426385 0.280636
6.95 -0.593516 -0.412329 0.281563
7 -0.613781 -0.398233 0.282264
7.05 -0.63334 -0.384107 0.282738
7.1 -0.652192 -0.369963 0.282986
7.15 -0.670338 -0.355812 0.283006
7.2 -0.687775 -0.341666 0.282799
7.25 -0.704506 -0.327536 0.282362
7.3 -0.720531 -0.313433 0.281697
7.35 -0.735851 -0.29937 0.280804
7.4 -0.75047 -0.285357 0.279682
7.45 -0.764389 -0.271406 0.278332
7.5 -0.777613 -0.257528 0.276755
7.55 -0.790145 -0.243734 0.27495
7.6 -0.801989 -0.230037 0.27292
7.65 -0.813152 -0.216446 0.270664
7.7 -0.823637 -0.202974 0.268185
7.75 -0.833453 -0.189632 0.265483
7.8 -0.842604 -0.17643 0.26256
7.85 -0.851099 -0.16338 0.259417
7.9 -0.858946 -0.150492 0.256057
7.95 -0.866153 -0.137778 0.252482
8 -0.872728 -0.125248 0.248693
8.05 -0.878682 -0.112913 0.244692
8.1 -0.884024 -0.100783 0.240484
8.15 -0.888765 -0.0888681 0.236069
8.2 -0.892916 -0.0771795 0.231451
8.25 -0.896488 -0.0657268 0.226632
8.3 -0.899494 -0.05452 0.221617
8.35 -0.901946 -0.0435689 0.216407
8.4 -0.903856 -0.032883 0.211007
8.45 -0.90524 -0.0224719 0.205419
8.5 -0.906109 -0.0123448 0.199648
8.55 -0.90648 -0.00251071 0.193697
8.6 -0.906366 0.0070214 0.187571
8.65 -0.905784 0.0162429 0.181273
8.7 -0.904748 0.0251452 0.174807
8.75 -0.903276 0.0337202 0.168178
8.8 -0.901383 0.0419597 0.161391
8.85 -0.899086 0.0498561 0.15445
8.9 -0.896404 0.0574015 0.147359
8.95 -0.893353 0.0645888 0.140124
9 -0.889952 0.0714109 0.132749
9.05 -0.886219 0.0778608 0.12524
9.1 -0.882172 0.083932 0.117602
9.15 -0.877832 0.0896181 0.109839
9.2 -0.873218 0.0949131 0.101958
9.25 -0.868348 0.0998113 0.093964
9.3 -0.863244 0.104307 0.085862
9.35 -0.857925 0.108395 0.0776582
9.4 -0.852412 0.11207 0.0693582
9.45 -0.846725 0.115328 0.060968
9.5 -0.840886 0.118165 0.0524933
9.55 -0.834916 0.120576 0.04394
9.6 -0.828836 0.122557 0.0353143
9.65 -0.822668 0.124105 0.0266226
9.7 -0.816433 0.125217 0.0178705
9.75 -0.810153 0.12589 0.00906479
9.8 -0.803851 0.126122 0.000211564
9.85 -0.797548 0.12591 -0.00868283
9.9 -0.791267 0.125252 -0.017612
9.95 -0.785031 0.124147 -0.0265695
10 -0.77886 0.122594 -0.0355489
10.05 -0.772778 0.120591 -0.0445435
10.1 -0.766808 0.118139 -0.0535471
10.15 -0.760972 0.115236 -0.0625529
10.2 -0.755292 0.111883 -0.0715541
10.25 -0.749791 0.10808 -0.0805444
10.3 -0.744491 0.103827 -0.0895171
10.35 -0.739415 0.0991273 -0.0984656
10.4 -0.734585 0.0939805 -0.107384
10.45 -0.730024 0.0883887 -0.116264
10.5 -0.725753 0.082354 -0.1251
10.55 -0.721795 0.0758787 -0.133886
10.6 -0.718172 0.0689655 -0.142614
10.65 -0.714905 0.0616174 -0.151279
10.7 -0.712017 0.0538379 -0.159874
10.75 -0.709528 0.0456305 -0.168391
10.8 -0.70746 0.0369993 -0.176826
10.85 -0.705834 0.0279485 -0.185171
10.9 -0.704671 0.0184829 -0.19342
10.95 -0.703991 0.00860744 -0.201566
11 -0.703816 -0.00167268 -0.209604
11.05 -0.704164 -0.0123518 -0.217527
11.1 -0.705057 -0.0234242 -0.225329
11.15 -0.706512 -0.0348834 -0.233004
11.2 -0.70855 -0.0467231 -0.240546
11.25 -0.711189 -0.0589365 -0.247949
11.3 -0.714449 -0.0715163 -0.255207
11.35 -0.718346 -0.0844554 -0.262314
11.4 -0.722899 -0.0977459 -0.269265
11.45 -0.728125 -0.11138 -0.276055
11.5 -0.734041 -0.125349 -0.282676
11.55 -0.740664 -0.139645 -0.289125
11.6 -0.748009 -0.154259 -0.295396
11.65 -0.756093 -0.169182 -0.301483
11.7 -0.764931 -0.184405 -0.307382
11.75 -0.774537 -0.199918 -0.313088
11.8 -0.784926 -0.215711 -0.318596
11.85 -0.796111 -0.231775 -0.3239
